	reply_text
1951	EMERG DESC, set FL68, started descent and lost consciousness before able to set higher ALT? Seems likely...
1952	but at a controlled speed (unless readings were out), which makes it even more bizarre. I hope they find the real answers soon
1953	descent rate is not that unusual.
1954	Only entered FL380 for a few mins prior too. So sad.
1955	best follow I ever did
1956	with one day before crash
1957	all rumors.not confirmed at all
1958	From
1959	My nd source is confirm me French media is reporting fer Unverified
1960	ers a link to prove intentionally set out to kill
1961	"Col , military like you &amp; Gens J Keane have to say to Obama: ""You have to bomb the Iran's nuclear facilities."""
1962	Him and millions of others no doubt but WHAT tipped him six years later to commit such an atrocious act??
1963	Sure CoPilot
1964	
1965	bury them in their hole
1966	Media have surrounded this building.
1967	what cowards . Good will always conquer evil
1968	It's time to FINISH THEM!!!
1969	they want to be killed they want to be martyrs that would fuel them... Capture them and isolate them In prison
1970	Well, that's a good idea too. But...they're gonna end up life in prison and that means that they're gonna live on taxes...
1971	French taxes... But the French don't treat prisoners as well as we do
1972	didn't the cops ask you NOT to give this kind of detail? what is wrong with you?
1973	so much for Local and Int'l Media adhering to a NO Publish of the building. Brilliant idiots as usual NBC
1974	destroy them and accelerate their trip to hell
1975	these the same Islamic Terrorists you claimed were dead a couple days ago?
1976	capture them do not kill they want to be killed
1977	the only reason why u don't kill them at this point is if u think they have info about future terrorist attacks.
1978	no they want to be martyrs they want to be killed it makes them Heroes to the other terrorists
1979	they are heroes to their followers no matter what. Don't give them a way to get out instructions to trigger future attacks.
1980	I don't think they are leaders the leaders don't do the real terrorism... But I get what you are saying tho
1981	they could be middle managers. They could lead a group.
1982	they were sick of the dead end job so they went postal... Zing! Lol sorry
1983	makes sense. Did you read the CIA report? Surprised it hS taken this long
1984	"Consensus translation of the headband is ""We sacrifice ourselves for you, O Mohamed.” Caveat: photo blurry, text incomplete."
1985	how do we know the guy isn't just pissed that he got fired or foreclosed on. Or his gf is cheating on him.
1986	We don't.
1987	so why do twitterverse and the Aussies act like Normandy landing is imminent? Because of flag in arabic? Crazy fear.
1988	just curious: does 'evacuate' mean leave country or city/area? Do you know?
1989	means go home
1990	So scary. Hoping situation is resolved very soon &amp; as peacefully as possible.
1991	The country would be safer, for us that is.
1992	Hoping for a safe and speedy resolution. Praying no one is hurt but that seems unlikely considering.
1993	With their destructive foreign policy, I would think every day would require vigilance.
1994	What ?? Sorry I missed this !!
1995	maintain high level of vigilance? Against who? Obama said islamic terrorists don't exist in America remember?
1996	That's comforting
1997	"“ US evacuated Consulate in Sydney after . Emergency warning to US citizens: ""maintain high level of vigilance"".”"
1998	Good thing Feinstein made sure this will never happen here.
1999	I don't think he understands, kidnappers surrender or get shot, murderers surrender or get shot. It's quite simple !
2000	these mother fucker do not represent Muslims
2001	Hostage-taker at Paris store demands release of police union spoke says. via
2002	"ask this coverage reminds me of the song ""villain"" by the verve pipe."
2003	say thank's
2004	You know, a non-violent way to end this situation...
2005	. ITS A KOSHER JEWISH SUPERMARKET. THEY CHOSE IT FOR A REASON. YOU CONVENIENTLY LEFT THAT OUT
2006	Yup, they buried its kosher deliberately
2007	
2008	relax.... Every other work out of and mouth was
2009	. -SO SAVE ME THE FUCKING LECTURE, AND WHEN MY FELLOW TRIBE MEMBERS ARE BEING HELD HOSTAGE, DONT DARE TELL ME TO CALM DOWN.
2010	And the hostages at the kosher market have been freed. Happy for you David.
2011	Too late. The Charlie Hebdo terrorists are dead.
2012	. AND YET ITS NOT ON/IN THE TWEET/HEADLINE. AS USUAL. &amp; DONT FUCKING TELL ME TO RELAX. THIS IS THE SAME NETWORK THAT REPORTED THE-
2013	agreed, its convenient they forgot to mention that detail.
2014	". - SYNAGOGUE MASSACRE AS ""ISRAELI FORCES SHOOT ARABS IN MOSQUE"". I'VE GOT A GOOD MEMORY &amp; IT WASNT LONG AGO-"
2015	“: . ITS A KOSHER JEWISH SUPERMARKET. THEY CHOSE IT FOR A REASON. YOU CONVENIENTLY LEFT THAT OUT ” &lt;too true!
2016	Coward News Network
2017	YOU LEFT OUT INTERNATIONAL!
2018	Those are Dead people already thats part of there standoff more media to show up.So the World to see.
2019	Don't they have those machines that shoot loud focused waves at people to get them to submit?
2020	just the Japanese whalers to keep paul Watson away
2021	Use an LRAD on the hostage taker, &amp; if the hostages feel the affect too, they won't die like the murderer. Bring him in
2022	hope France has sharpshooters
2023	“: Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least injured ” O.O
2024	praying for all affected by this shooting
2025	I'm guessing Obama will probably apologize to the terrorists on Canada's behalf.
2026	what? You have only been there a week! How did you manage this! Stay safe.
2027	get well soon
2028	News,darams,cric,funny
2029	So Canada's strict gun control policies have failed
2030	you stupid fuck
2031	that is such a stupid, uneducated comment
2032	Hardly, dont hear about a school shooting or spree every mins do we?
2033	this is probably ISIS. canadas gun control hasnt failed at all.
2034	it's Isis fucktard
2035	“: Germanwings Airbus A320 crashes in French Alps near Digne ” flying today and THIS is not what I see :/
2036	millions of flights happen everyday. This is only one.
2037	«--thousands, not millions, of planes daily/globally; -- millions of daily flyers/passengers, yes).:]
2038	I didn't mean millions literally figure of speech
2039	«ok,Good.¤
2040	I do know that!
2041	then don't panic. You can always sail if you like
2042	Not to Amsterdam! Itl take too long.
2043	“: Germanwings Airbus A320 crashes in French Alps near Digne ”
2044	: Germanwings Airbus A320 crashes in French Alps near Digne
2045	“: Germanwings Airbus A320 crashes in French Alps near Digne ”
2046	“: Germanwings Airbus A320 crashes in French Alps near Digne ”
2047	“: Germanwings Airbus A320 crashes in French Alps near Digne ”
2048	omg
2049	says passengers &amp; crew RT : Germanwings Airbus A320 crashes in French Alps near Digne
2050	
2051	“: Germanwings Airbus A320 crashes in French Alps near Digne ”
2052	: Germanwings Airbus A320 crashes in French Alps near Digne
2053	: : Germanwings Airbus A320 crashes in French Alps near Digne
2054	“: Germanwings Airbus A320 crashes in French Alps near Digne ” another plane crash.. Oh God.
2055	I’m getting more skeptical of flying. RT : Germanwings Airbus A320 crashes in French Alps near Digne
2056	: Germanwings Airbus A320 crashes in French Alps near Digne ”
2057	Yikes RT : Germanwings Airbus A320 crashes in French Alps near Digne
2058	awful news
2059	“: Germanwings Airbus A320 crashes in French Alps near Digne ” Oh Jeez, no!!!
2060	Horrible news.
2061	The worst
2062	that's terrible
2063	. Just heard: No survivors
2064	my heart is with the loved ones
2065	Yes, it is. Sounds like there are no survivors.
2066	: Germanwings Airbus A320 crashes in French Alps near Digne
2067	: Police: Negotiators are now in contact w/ armed hostage-taker in situation; motive remains unknown -
2068	Really? The motive is unknown? Does the flag in the window provide any possible clue? Do you employ the world's worst reporters?
2069	
2070	Numerous? More than three?
2071	Good thing all those police with guns were there!
2072	Ottawa police have NOT confirmed multiple shooters based on Canadian reporters on scene but they are still looking in case
2073	They have - however - confirmed separate shootings. So there's that.
2074	they hadn't at the time I posted. Ever changing news for sure. Scary times
2075	Scary times indeed.
2076	nd suspect parrantly shot behind parliament. Lockdown almost everywhere... third suspect on the loose. That s heavy.
2077	What's the reason behind the attack?
2078	most likely terrorism pure and simple and certainly confirming american warnings that potential threats now inside.
2079	hard to say yet but note that similar incident also happened this week where some islam convert attacked military
2080	I read about that. Maybe this is also an islamic attack.
2081	The issue is whether an independent cell (isolated wakos) or else part of a larger plot First attack suggest latter
2082	Yes thats interesting. Scary attack though, I'm glad that we only have non-identified submarines here in Sweden.
2083	But clearly they aim for a military representative at a well known military statue downtown Ottawa. Still lockdown
2084	"“: Ottawa Police..: ""numerous gunmen"" at the Canada War Memorial shooting..."""
2085	Ottawa was always such a safe city. This is madness.
2086	Just read that Soldier may still be alive.
2087	Sad day as soldier shot at War Memorial reportedly succumbs to injuries.
2088	SOURCE????
2089	Radio Canada tweeting same. must be true
2090	yes parliament attached at am eastern time
2091	"The ""five eyes"" and western Europe ""invite"" this misery, still, the perpetrators are despicable."
2092	Mazaltov! They could call the baby Ukrainia.
2093	
2094	Or preparing to launch yet another war?
2095	Russian Emb denies. RT min This is not true.// I have more time for speculation
2096	Reset.
2097	
2098	The meme makers are letting us down on this! We should see that red button ! //
2099	Well, Blick is a tabloid, so I wouldn't necessarily believe everything they say
2100	plus direct info from the 'fields'!
2101	But why a Swiss clinic? Why not give birth in Russia? What am I missing here?
2102	"It is difficult not to think of ""Rosemary's Baby"" in this instance."
2103	What makes us think the baby story may be true? - The Kremlin denied it!
2104	faces of evil.
2105	connexion; policewoman; market : Police: Suspects Thurs Montrouge shooting
2106	MT French police publish photos of suspect in Montrouge shooting. Maybe the same people in Kosher market
2107	whole lot of talk. He was probably on a hunting trip
2108	never !!
2109	selling inbetweeners car for comic relief please rt!! ?
2110	that looks like a double to me, dear.
2111	Lol coup? That's when you know you people are just making things up.
2112	
2113	haha all he wanted was a week off!
2114	: Accident aircraft looks to be Germanwings (Airline code U or GWI) flight , Barcelona to Dusseldorf.
2115	the st and only tweet I've seen referencing the ICAO identifier
2116	terrible news.
2117	"- ""Approximately hostages"", in the article linked the first few lines says the number is closer to ."
2118	"Via "": Approximately hostages may be held captive at café – """
2119	CEO said only employees! Must be a lot of customers. It is good chocolate
2120	Stay away from chocolate
2121	I thought it was only from the beginning
2122	There are not hostages, don't know really know if terrorist or not, stop spreading speculation as Fact.
2123	Hostages now
2124	they're gonna fuck that dude up
2125	nah it's or maybe . Or Whatever sounds more alarming
2126	dear God!!!
2127	"Good thing Australia has strict gun laws. "": Approximately hostages may be held captive at café ”"
2128	why don't you get off Twitter and protect the next pre-school that will get hit by your infinite number of crazed gunmen
2129	There is a mental health problem not a gun problem.
2130	let's not forget those naughty video games, hope that keeps you warm before the next mass shooting
2131	From: A video game playing gun-owner who has never shot anyone.
2132	Why do we blame everything except for the maniac that does the actual act?
2133	yep blaming the shooter shud prevent d nxt mass shooting...if this goes south (hope not) this is the first in yrs!
2134	But how does it happen at all w/ a ban in place? We all know bans completely prevent the banned activity from happening.
2135	I'd gladly have our in yrs situation to your one in wk mass shootings.
2136	And I'd gladly have my freedom to protect my family. Thanks.
2137	statistics say your freedom will be used to shoot your family not protect them.
2138	Have fun defending your home with a baseball bat while waiting minutes for the cops to show up.
2139	have you seen our crime stats? We don't even lock our doors.
2140	So you don't agree anyone should own a gun but yet when something bad happens you're going to call a cop.. That has a gun
2141	it's worked for us for the last yrs hasn't it?
2142	No, it hasn't.
2143	that's Britain! I still would prefer their homicide rates to yours
2144	And I prefer my freedoms to yours. Thanks for your concern, though.
2145	So Australia has banned guns and Violent video games. Looked at what has happened.
2146	I pray for the safety of all the hostages; and that they are released soon.
2147	That's an exaggeration, get your facts right.
2148	... hostages in a cafe? For days?..... Australian crime is hilarious
2149	“: Several more hostages flee from cafe under siege in Sydney, local media say ” thank god
2150	A gunshot heard?
2151	“: Several more hostages flee from cafe under siege in Sydney, local media say ”
2152	
2153	apparently they snuck out when he went for a piss
2154	“: Several more hostages flee from cafe under siege in Sydney, local media say ”
2155	Blessings! Check out latest Radio Show ANYTIME! or RT TY
2156	“: Several more hostages flee from cafe under siege in Sydney, local media say ”
2157	
2158	he put out a statement instead of personally speaking to the Australian ppl, why?? Is he hiding under his desk!
2159	poor form not removing names.
2160	And to be even-handed, it puts it into perspective to a Mr Bolt as well.
2161	very impressed that you're on the mail list. suggest that you edit out the non-essential info, like names and phone numbers
2162	couldn't care less about anyone but herself. She does this all the time.
2163	Isn't it etiquette to remove names from a press release?
2164	
2165	Same old same old story more lies from the weasel liar PM
2166	thanks for the update Latika.
2167	that unread count... nnnnggggg
2168	omg
2169	If I were Jewish, I won't go to the demo beside Hamas' friends.
2170	oh no, prayers for them.
2171	link?
2172	
2173	actually,
2174	Praying.
2175	
2176	I assume you mean niece?
2177	yes
2178	do you have a link?
2179	- it was just live
2180	thanks!
2181	“: JUST IN: Germanwings plane crashes in southern France, up to feared dead ”
2182	“: JUST IN: Germanwings plane crashes in southern France, up to feared dead ”
2183	“: JUST IN: Germanwings plane crashes in southern France, up to feared dead ” sigh airbus.
2184	Identified themselves ? You having a laugh, so how come they didn't get shot too ? :/
2185	Trying to one-up ISIS? MT : Witnesses say Charlie Hebdo gunmen self-ID'd as al-Qaida:
2186	I strongly condemn this terrorist attack as a Turkish Muslim.Terrorists Cannot represent Islam
2187	"“: Witnesses -Charlie Hebdo gunmen identified themselves as members of al-Qaida:"" If true, terrorist groups' competing and escalating?"
2188	the outbidding scenario as talked about by
2189	Alluh akbar , why did they make a funny on our prophet.
2190	. ...witnesses may have but President never will not will he utter or in association with this!
2191	Who funded/armed/trained gunmen? … Jeffrey Epstein also in CFR+Trilateral Commission
2192	Duh, Ya think?
2193	: Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida
2194	""" confess they didn't get 's """
2195	Cant be al-Qaida the President told us they are in retreat
2196	
2197	Hhmmmm… *ambil lup* “: Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida:
2198	! be careful!
2199	"Probably another ""false flag"" on the Canadian side!"
2200	
2201	Stay safe police and soldiers protecting us all!
2202	Canada: “: BREAKING: Shots fired at Parliament Hill. Follow developing story: ”
2203	trying to but got this - shameful behaviour
2204	“: news: Shots fired at Parliament Hill. ”
2205	RT “: Shots fired at Parliament Hill. Follow developing story: ”
2206	
2207	“: news: Shots fired at Parliament Hill. Follow developing story: ”
2208	I'm taking bets on how quick or will be blamed. After all is where the US want to bomb next.
2209	
2210	: news: Shots fired at Parliament Hill. Follow developing story:
2211	"Sending thoughts and prayers. "": : Shots fired at Parliament Hill. ”"
2212	
2213	looks like American values are heading north
2214	Yikes rt: : news: Shots fired at Parliament Hill.
2215	our prayers are with our leaders &amp; authorities, may they return safely to their homes
2216	Has car-jacking by suspects been confirmed? Questionable.
2217	let's cut off his head and send back to his family in the middle east.
2218	What's the matter with ppl crazy fuck
2219	is it over or are they still looking for the gunmen?
2220	
2221	let's hope the medias don't gratified these people by publicizing their names all over.. which is exactly what they want.!
2222	
2223	P.M.Presser
2224	: Name of cop is eected to be released by ET (J.B. Forbes, AP) ”
2225	Get ready to tweet the address and other vigilantes .
2226	New police chief?
2227	like holding back zombies
2228	BTW the interview the Police Chief conducted yesterday was the worst interview I have ever seen
2229	Good Ol' Boy system at work just like .
2230	The police department is incompetent. Why would you give hours notice of releasing the officers name? Builds hype
2231	That name should not be mentioned again.
2232	OK now let's swoop in on all who knew him!
2233	USA come before canadian media
2234	as part of a co-op criminal investigation one would doesn't need facts to write stories it appears.
2235	I think that soldiers should be armed and wear protective vests when they are on guard any where.
2236	followed you because of this
2237	Thx!
2238	lone Wolf
2239	R.I.P
2240	"“: Attack on Parliament: Soldier shot; gunman on the loose. "" Not a good week to be a Can soldier"
2241	Please remove this picture of Cpl Nathan Cirillo. Let's show this hero some dignity and the respect he deserves!!
2242	“: Attack on Parliament: Soldier shot; gunman on the loose: ”
2243	“: Attack on Parliament: Soldier shot; gunman on the loose.” Thinking of everyone back home.
2244	Soldier shot, shooter still at large MT : Attack on Parliament: Follow our developing story
2245	prayers and thoughts to his family and friends....
2246	no report he has died!
2247	New report indicates he is alive but obviously gravely injured. I'm not sure where New York Times got that.
2248	me either. There are reports he is still alive. But not looking good!
2249	hi Donna I think we are talking different incidents now the quebec one is what I referred
2250	??????
2251	Donna - the rcmp incident in Quebec versus today in ottawa
2252	But both would indicate there is need to increase surveillance &amp; ability to detain
2253	Ugh, CTV is reporting he's ALIVE.
2254	Perhaps wait for Canadian source.
2255	
2256	NYT may be wrong, bcuz CTV news1 has said that the soldier at Memorial is alive at hospital!
2257	maybe you should get your info a little more locally
2258	CTV just said he is being treated and is stable ?
2259	Not according to what I've just heard on CTV.
2260	My heart goes out to the family.
2261	Careful when reporting on life and death. Let's wait until we really know... when the news is not so chaotic
2262	Canadian news contradicts this
2263	
2264	perhaps wishful thinking on my part but still hopeful it is not true. TV still not reporting any CF deaths
2265	But, they are peaceful people and Hilary said they can be negotiated with!
2266	. SHIT. I KNEW IT when I saw the news break. Son-of-a-b.....!!!!!
2267	time to kich these Muslim fuckers the hell out of every democratic country!
2268	Thoughts go out to the people under seige in . Possible attack. Just let them out safe. Let's not start a war!
2269	Damn the Muslims back to their version of the 'holy land.'
2270	The police better plan on killing him, because his intentions are not at all in doubt.
2271	bet they're happy they let those goat humpers into the country.
2272	Looks like a job for Special Ops. Prayers for the hostages.
2273	: Sydney Opera House evacuated, concourse deserted (via ) ”
2274	“: Sydney Opera House evacuated, concourse deserted (via ) ”
2275	My heart and prayers go out to the good people of Sydney and Australia. 🇺🇸
2276	“: My heart and prayers go out to the good people of Sydney and Australia. 🇺🇸 ” Amen.
2277	Hope they rescue the hostages. .and fry the islamutards.
2278	“: Sydney Opera House evacuated, concourse deserted (via ) ”
2279	The cost of terrorism, NUKE IRAN TO HELP STOP THIS.
2280	Really want to stop it? Bomb Mecca! Level it.
2281	Just practice for what coming Im afraid Europe is heading for a war
2282	great news
2283	No confirmation yet, but hopefully good news
2284	hurrah, hell awaits
2285	Good - less to worry about. Hope the Hostages are all OK!
2286	Allegedly?
2287	best news I have heard, Kay you are doing an amazing job thank you
2288	great work gsg9 and s/ forces teams.
2289	great news great reporting Kay one of the best in the business
2290	Good News at last Evil Pigs !!!!
2291	best News possible all things considered
2292	Thinking of the hostages. To hell with the terrorists, they should burn on the street, absolute scum.
2293	they got what they wanted but perhaps for the best
2294	rot in hell.....
2295	Great news!
2296	you the fastest for breaking news...
2297	best news for days. Goodbye scumbags.
2298	Killers? No trial? Can you please provide the evidence that these people were involved in
2299	what about the hostage hopefully still alive.
2300	Highly trained doesn't necessarily mean always smart.
2301	The two left the ID of an probably innocent yr old to try to put the Police off their track.
2302	Maybe they were convinced they would die? Just guessing
2303	As they say, smartest criminals make mistakes too!
2304	don't ask too many questions someone might accuse you of being a journalist
2305	Maybe the gunmen were better trained than the getaway driver?
2306	"The answer will probably start with ""S"". Stupid, or Staged and depends on Smart."
2307	I suspect they were rather distracted. Can't think why...
2308	". ""Highly trained"" by secret services…"
2309	video also shows them using some not so great skills in the street (crossing each other's line of fire, etc)
2310	In one respect; part of me hopes they give the French armed police a legitimate reason.....
2311	"A ""highly trained"" member of my troop lost a pair of &gt;£2000 night vision goggles once."
2312	Unless you've got military eerience, its hard to understand how much stress your brain undergoes in battle.
2313	OK. But why precisely an ID, why not Seresta tablets?
2314	it is not inconceivable that the terrorists were on anti-anxiety meds AND were amp'd.
2315	These men were clearly military trained...
2316	the bullet groupings were super tight for automatic fire...
2317	exactly. Something which isn't achieved through a day at the shooting range...
2318	classic misdirection. Probably seals or MI6.
2319	you can't be serious
2320	i could be, but I'm not.
2321	sometimes it's hard to tell
2322	Well....
2323	I think they ultimately want their day in court and a platform upon which the world will look.
2324	Really? Is that confirmed?
2325	maybe they want to get caught
2326	how about the story that friends of the third suspect Hamyd saw him in class km away during the attack
2327	+1
2328	Yeah, that's going to happen! MT : Gunman in kosher grocery store is demanding the release of the suspects in shooting
2329	"“: UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in shooting"" &lt;--"
2330	On the face of it that's unusual because Islamic terrorists are usually suicidal. So I suspect it's a deliberately /2
2331	"/2 impossible demand to ""justify"" a massacre when it's refused."
2332	yes, it's certainly an indicator of how that ones going to pan out.
2333	What a fucking nightmare
2334	Well done. This kind of information is important to remain secret for the sake of the safety of the hostages!
2335	
2336	Two wrongs won't suddenly become right and two tragedies can never be compared - neither by quantity nor by quality.
2337	fuck you sarracen and stop islamization
2338	Right a tradgedy happening in France and you post this. This is the reason the world hates Islam.
2339	dont waste time with A Hindu laim price ...they eat shit and urine of animals and spread Hates in world
2340	if u can see well the first picture is about Paris attack and it's hash tag is the one stop killing innocent ppl
2341	huh he doesn't even know who killed the journalists he's trying to get media coverage just kill him
2342	When will countries &amp; the decent Ppl w/in realize MOSLEMS all follow Koran. Which means our death. Deport the bastards
2343	BREAKING: Gunman at kosher grocery store threatens to kill hostages if police storm terrorist brothers
2344	Who buys Kosher? MT : BREAKING: Gunman at kosher grocery store threatens to kill hostages if police storm terrorist brothers.
2345	Mohammed is that Guy who promotes murdering women+children in the name of Peace....
2346	where's Eddy Caplan when you need him
2347	We all heard of Mexican standoff. This is French version of it
2348	Nothing excuses the murder of innocent people, whether it is these poor hostages in France or civilians in Gaza.
2349	What a relief! Glad everyone is mostly ok!
2350	“: : Police have confirmed that the is over. ” thank God
2351	“: : Police have confirmed that the is over. ” Thank god... Shoutout to all the police that saved us
2352	THANK GOODNESS
2353	“: : Police have confirmed that the is over. ” best news
2354	“: : Police have confirmed that the is over. ” I would not only like to thank God, but those policemen
2355	“: : Police have confirmed that the is over. ” good job australia, hope they all are okay
2356	“: : Police have confirmed that the is over. ” so glad to hear, this was unreal!
2357	“: : Police have confirmed that the is over. ”thank GOD
2358	THANKS GOD
2359	“: : Police have confirmed that the is over. ” thank god thank god thank you thank you thank you
2360	YES
2361	good
2362	And or people killed. Unconfirmed.
2363	Can you clarify - are the six hostages and one seriously wounded in addition to the reports of two killed?
2364	BBC saying two dead in East Paris but at least five hostages still held in supermarket. Terrible.
2365	
2366	The horror continue.
2367	“: BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source” Mondo Cane!
2368	confirmed dead in shooting before he took hostages...
2369	incident?
2370	not in anyway justifying the violence but why the intentionally hurting of others believe? It doesn't make sense.
2371	“: BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source”
2372	“: Secret Prince show rumored for Toronto tonight ” Wishing this was NYC
2373	“: Secret Prince show rumored for Toronto tonight ” why does no one ever do secret shows in Ohio?
2374	“: Secret Prince show rumored for Toronto tonight ”
2375	I think it sold out in minus minutes.
2376	noooooo!
2377	God's miracles are just inelicable,who had imagined an executioner would leave his identity card at the crime scene
2378	Face hidden but identity card left at the crime scene,if he was clever enough,he would have left it at home from the very onset
2379	Animals! Will they get their virgins in hell? Because, that's where they are going!
2380	the religion of peace at it again..
2381	“: French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: him
2382	COWARDS less than humans
2383	look his face they are moeslim and they is vandals everywhere..shit moeslim.
2384	Dead eyes. No soul to these guys.
2385	“: French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: the face of cowards
2386	there is
2387	see what happens when you put down people.
2388	Enjoyyyyyy I'm jealous
2389	If there's one thing fans love more than the music, it's queueing!
2390	I can't go lol I have to work or I would should be amazing.
2391	and boy did we know how to queue mate.
2392	I hope you enjoy! Only slightly jealous
2393	very very true hope it's a heck of a concert.
2394	
2395	Theres also an elosion in a restaurant there.
2396	
2397	Pencils as -11? All the cartoon responses are cartoonists as victims. Where's the defiance?
2398	It happen hour ago, not very reactive, big issues with Data evaluation
2399	“: Geoblock lifted on . Streaming coverage of Martin Place siege in Sydney here .
2400	How hard is it to turn down the external sound ABC?
2401	Ta, trying that one too. I'm on this one
2402	"Yes. This is what real news is about: “: Geoblock lifted on . Streaming coverage of the Martin Place siege in Sydney..."""
2403	does not seem to work on mobile in the US. What about your YouTube stream?
2404	Still blocked here (USA, iOS iView app). The geoblock lifting never works... &gt;&lt; Just get rid of it. Eats pay tax too!
2405	it's not working here in the uk mate
2406	thanks
2407	Put the geoblock back on! We can have coverage once they're out. Don't broadcast police movements!
2408	the more coverage there is the more worried I am its giving these people what they want, and the situation a bad end.
2409	Are your reporters % sure it is an ISIS flag? Cause that is what is being reported.
2410	Any danger of leaving it off for good?? Eats are shut out by the ABC. Missing quality shows.
2411	you would have to talk to the content rights holders , they determine where ABC can allow their shows to be broadcast
2412	it's not often that people need a VPN to get into Aus!
2413	super awesome
2414	cc:
2415	still does not work in uk
2416	fingers crossed this ends well and swiftly.
2417	NOO..
2418	omg no
2419	not good news....
2420	"ideally the dead are the ones that were practicing their ""Religion of Peace"""
2421	“: : At least two people have died following the . people are being treated by paramedics.” Please no
2422	
2423	“: : At least two people have died following the . people are being treated by paramedics.” nooooo
2424	not confirmed
2425	“: : At least two people have died following the . people are being treated by paramedics.” NO PLEASE
2426	what's happened to the guy!
2427	noooooo
2428	brain washed fanatics. The amount of fervor needed to commit such a horrific act is unimaginable.
2429	Ineicable evil! “: men wearing hoods &amp; black clothing shoot a wounded man
2430	That poor man pictured was a Police Officer
2431	I hope They are taken alive
2432	the man might have been a wounded police officer as per Tv news coverage
2433	Terribile “: video show two attackers wearing hoods &amp; black clothing shoot a wounded man ”
2434	and terrible too
2435	"Police Officer down in picture, killed by armed terrorists who shouted, ""the prophet is avenged"" after slaughtering him."
2436	so sad
2437	"Now police issue pix of ""alleged"" robbery involving Michael Brown in via"
2438	Is there a police report we can see? Initially, the police said the victim was stopped for walking in the street.
2439	that is him same hat and outfit at sceen still gave no right to kill him
2440	: Photos of alleged robbery involving in (via police)
2441	Is robbery a death penalty in MO? and without a trial?
2442	: Photos of alleged robbery involving Michael Brown in (via police)
2443	. Which excuses him getting shot in the street and his body left there for four hours HOW? Y'all are magpies; all you see is shiny.
2444	Easy to know if this is Brown by looking at what he was wearing when he was killed. Has there been a positive ID for this?
2445	one sure way to know would be if they tested for DNA on the employees shirt...
2446	Even so - since when do you shoot a suspected robber if he is unarmed and cooperating?
2447	I agree it isn't robbery its simple shoplifting an assult
2448	True. However if clothes were different or the same would do it also - I doubt that he the time to change.
2449	Now they say this? Not very believable.
2450	Here's a petition to stop militarization of police departments
2451	It doesn't matter if it's him in this picture or not the report said he was unarmed still no reason to shoot him
2452	That guy is much fatter then Michael and older
2453	“: Photos of alleged robbery involving Michael Brown in (via police) ”
2454	. why are the cops releasing this? Has nothing to do with later shooting.
2455	That's only in countries that need to be converted!
2456	"""Unfortunately ""there is no proof he did that and witnesses who say he didn't go for the gun. Perhaps we should wait for facts"
2457	... That's just plain funny.
2458	so bad...
2459	you know that was funny!
2460	terrible attempt at humor. Shame on you.
2461	lol
2462	Good one!
2463	Funny. Unfortunately wrestling a cops gun away would have gotten you shot yrs ago &amp; it will get you shot yrs from now.
2464	"Asians be like ""F$ck this shit, I gotta go home and study""."
2465	Give her a gun maybe she'll end this.The Police are afraid of a shot gun.U should have got him B4 the World woke up this AM
2466	you made this girl a top student and skilled sport women and all comeon man lets things get over first
2467	lol
2468	selfies
2469	If you work with this twat, kick him in the balls for me. Kthxbai. “: selfies ”
2470	Why release her name? Give her time to heal in privacy. Do you have no ethics?
2471	A sportswoman INDEED, thank God she survived the shooting :')
2472	“: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. ” Fuck off
2473	no he hasn't. The man himself confirmed not true
2474	Glad to hear this is just a rumour. Disgusting whoever made this up. Apologies to and for any offence caused.
2475	no he hasn't
2476	“: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] ”
2477	“: AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] ”
2478	
2479	woah wtf
2480	""": CONFIRMED | shooter shot dead at Parliament Hill, but there is more than suspect. ”"
2481	“: CONFIRMED | shooter shot dead at Parliament Hill, but there is more than suspect. ”
2482	
2483	Dear Canada, what are you doing??? MT CONFIRMED | shooter shot dead at Parliament Hill.
2484	“: CONFIRMED | shooter shot dead at Parliament Hill, but there is more than suspect. ”
2485	this is messed up
2486	Extremism and Terrorism has no place in Islam
2487	sounds like a sketch from family guy
2488	Did the Gunman knew that he will rot in Hell for this ?
2489	Ppl use as excuse to do violent acts. US invading shows how much violence is naturally born into humans.
2490	they screamed Allahu Akbar just like those who scream Novorossiya
2491	sure they did
2492	Many religions started in mid east.It indicates peoples with no sense of humor.Leave them alone.
2493	its a trap....conspiracy against Islam...cant say no more...
2494	so sad.
2495	
2496	ISLAMIC SCHOLARS SHOULD COME FORWARD TO END 'JIHAD' ! IT IS INHUMAN &amp; WOULD DESTROY THE CREDIBILITY OF ISLAM !
2497	Or even better, how about the world just abolishes islam all together. It's nothing but a cancer to the world.
2498	pussies
